vintage,grade,dr_12m,dr_24m,dr_36m,prepayment_rate,loan_count
2011Q3,G,0.13333333333333333,0.26666666666666666,0.3111111111111111,0.4,45.0
2011Q4,A,0.02288329519450801,0.057208237986270026,0.07265446224256293,0.4559496567505721,1748.0
2011Q4,B,0.04711024769305488,0.09033511413307431,0.1209324915007285,0.4560466245750364,2059.0
2011Q4,C,0.06553398058252427,0.11893203883495146,0.1553398058252427,0.4773462783171521,1236.0
2011Q4,D,0.07577639751552795,0.1565217391304348,0.21614906832298136,0.4509316770186335,805.0
2011Q4,E,0.07543520309477757,0.1895551257253385,0.2553191489361702,0.4932301740812379,517.0
2011Q4,F,0.1568627450980392,0.2696078431372549,0.3382352941176471,0.4264705882352941,204.0
2011Q4,G,0.08333333333333333,0.2916666666666667,0.3333333333333333,0.4166666666666667,48.0
2012Q1,A,0.028693790149892935,0.06038543897216274,0.07965738758029979,0.4633832976445396,2335.0
2012Q1,B,0.04836252856054836,0.10091393754760092,0.14051789794364053,0.43716679360243715,2626.0
2012Q1,C,0.05811623246492986,0.12558450233800936,0.1623246492985972,0.4455577822311289,1497.0
2012Q1,D,0.08467309753483387,0.1682743837084673,0.21757770632368703,0.45016077170418006,933.0
2012Q1,E,0.09381663113006397,0.2046908315565032,0.279317697228145,0.4626865671641791,469.0
2012Q1,F,0.1893491124260355,0.26627218934911245,0.38461538461538464,0.35502958579881655,169.0
2012Q1,G,0.10638297872340426,0.23404255319148937,0.3191489361702128,0.48936170212765956,47.0
2012Q2,A,0.02357320099255583,0.05252274607113317,0.07196029776674938,0.4611248966087676,2418.0
2012Q2,B,0.047740112994350284,0.10141242937853108,0.1327683615819209,0.44378531073446326,3540.0
2012Q2,C,0.07360861759425494,0.15529622980251345,0.19748653500897667,0.44299820466786355,2228.0
2012Q2,D,0.07837226827430294,0.17030896759608138,0.22230595327807084,0.4702336096458176,1327.0
2012Q2,E,0.10806451612903226,0.23709677419354838,0.3064516129032258,0.45806451612903226,620.0
2012Q2,F,0.07518796992481203,0.22180451127819548,0.2669172932330827,0.45864661654135336,266.0
2012Q2,G,0.125,0.2916666666666667,0.3958333333333333,0.375,48.0
2012Q3,A,0.02529182879377432,0.052204928664072635,0.0632295719844358,0.49546044098573283,3084.0
2012Q3,B,0.04513767863367027,0.09498082955733705,0.12600209132101778,0.4674102474729871,5738.0
2012Q3,C,0.07129251700680272,0.13959183673469389,0.18040816326530612,0.4549659863945578,3675.0
2012Q3,D,0.09347442680776014,0.18165784832451498,0.23324514991181658,0.44488536155202824,2268.0
2012Q3,E,0.08259911894273128,0.1949339207048458,0.2643171806167401,0.4790748898678414,908.0
2012Q3,F,0.09762532981530343,0.20052770448548812,0.29023746701846964,0.5065963060686016,379.0
2012Q3,G,0.16049382716049382,0.2716049382716049,0.345679012345679,0.4444444444444444,81.0
2012Q4,A,0.025456919060052218,0.04960835509138381,0.06951697127937337,0.4869451697127937,3064.0
2012Q4,B,0.040436165379373015,0.08632439800090867,0.11343328789943966,0.4696350143873997,6603.0
2012Q4,C,0.05541899441340782,0.11798882681564246,0.16089385474860335,0.4793296089385475,4475.0
